iter	Passed	Remaining
768	18860	5665
769	18898	5644
770	18921	5620
771	18962	5600
772	18990	5576
773	19020	5553
774	19045	5529
775	19070	5504
776	19091	5479
777	19111	5453
778	19136	5428
779	19158	5403
780	19183	5379
781	19204	5353
782	19233	5330
783	19254	5304
784	19276	5279
785	19302	5255
786	19337	5233
787	19369	5211
788	19403	5189
789	19438	5167
790	19474	5145
791	19500	5121
792	19531	5098
793	19559	5074
794	19587	5050
795	19624	5029
796	19652	5005
797	19685	4983
798	19721	4961
799	19760	4940
800	19795	4917
801	19824	4894
802	19848	4869
803	19882	4846
804	19907	4822
805	19954	4802
806	19986	4779
807	20022	4757
808	20050	4733
809	20090	4712
810	20122	4689
811	20153	4665
812	20183	4642
813	20215	4619
814	20242	4594
815	20276	4572
816	20302	4547
817	20329	4523
818	20350	4497
819	20374	4472
820	20395	4446
821	20418	4421
822	20439	4395
823	20461	4370
824	20484	4345
825	20506	4319
826	20529	4294
827	20550	4268
828	20571	4243
829	20592	4217
830	20614	4192
831	20635	4166
832	20656	4141
833	20678	4115
834	20699	4090
835	20721	4065
836	20746	4040
837	20767	4014
838	20788	3989
839	20810	3963
840	20832	3938
841	20852	3912
842	20875	3887
843	20896	3862
844	20917	3836
845	20937	3811
846	20960	3786
847	20980	3760
848	21000	3735
849	21023	3709
850	21045	3684
851	21068	3659
852	21088	3634
853	21109	3608
854	21129	3583
855	21149	3557
856	21170	3532
857	21190	3507
858	21210	3481
859	21233	3456
860	21253	3431
861	21275	3406
862	21296	3380
863	21316	3355
864	21336	3329
865	21355	3304
866	21375	3279
867	21396	3253
868	21416	3228
869	21438	3203
870	21459	3178
871	21479	3153
872	21499	3127
873	21519	3102
874	21540	3077
875	21559	3051
876	21581	3026
877	21601	3001
878	21621	2976
879	21642	2951
880	21663	2926
881	21685	2901
882	21705	2876
883	21724	2850
884	21744	2825
885	21767	2800
886	21787	2775
887	21807	2750
888	21826	2725
889	21845	2700
890	21865	2674
891	21888	2650
892	21908	2625
893	21928	2599
894	21949	2575
895	21970	2550
896	21992	2525
897	22012	2500
898	22031	2475
899	22051	2450
900	22071	2425
901	22092	2400
902	22111	2375
903	22132	2350
904	22153	2325
905	22173	2300
906	22194	2275
907	22214	2250
908	22234	2225
909	22254	2200
910	22274	2176
911	22294	2151
912	22315	2126
913	22335	2101
914	22355	2076
915	22375	2051
916	22397	2027
917	22417	2002
918	22438	1977
919	22457	1952
920	22477	1928
921	22501	1903
922	22521	1878
923	22541	1854
924	22561	1829
925	22583	1804
926	22603	1779
927	22623	1755
928	22642	1730
929	22661	1705
930	22683	1681
931	22703	1656
932	22726	1632
933	22746	1607
934	22768	1582
935	22790	1558
936	22811	1533
937	22837	1509
938	22858	1484
939	22882	1460
940	22906	1436
941	22927	1411
942	22947	1387
943	22966	1362
944	22986	1337
945	23006	1313
946	23028	1288
947	23048	1264
948	23068	1239
949	23090	1215
950	23109	1190
951	23129	1166
952	23149	1141
953	23169	1117
954	23189	1092
955	23211	1068
956	23232	1043
957	23252	1019
958	23272	994
959	23292	970
960	23312	946
961	23332	921
962	23352	897
963	23373	872
964	23394	848
965	23415	824
966	23435	799
967	23455	775
968	23475	751
969	23494	726
970	23514	702
971	23533	677
972	23554	653
973	23575	629
974	23595	605
975	23619	580
976	23642	556
977	23664	532
978	23688	508
979	23720	484
980	23746	459
981	23776	435
982	23801	411
983	23825	387
984	23850	363
985	23874	338
986	23899	314
987	23919	290
988	23942	266
989	23963	242
990	23984	217
991	24010	193
992	24031	169
993	24051	145
994	24072	120
995	24092	96
996	24112	72
997	24134	48
998	24156	24
999	24177	0
